Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
983.867,1011,27.1333,0
983.5,1011,27.5,0
983.6,1011,27.4,0
983.8,1011,27.2,0
983.267,1011,27.7333,0
983.667,1011,27.3333,0
983.533,1011,27.4667,0
983.5,1011,27.5,0
983.733,1011,27.2667,0
983.2,1011,27.8,0
985.2,1011,25.8,0
985.4,1011,25.6,0
983.267,1011,27.7333,0
983.333,1011,27.6667,0
982.933,1011,28.0667,0
983.7,1011,27.3,0
983.833,1011,27.1667,0
983.067,1011,27.9333,0
983.133,1011,27.8667,0
967.4,1011,31.3961,0
983.167,1011,27.8333,0
983.733,1011,27.2667,0
983.467,1011,27.5333,0
983.833,1011,27.1667,0
1011,1011,0,0
983,1011,28,0
983.333,1011,27.6667,0
983.167,1011,27.8333,0
983.7,1011,27.3,0
983.2,1011,27.8,0
957.067,1011,37.4802,0
983.167,1011,27.8333,0
983.433,1011,27.5667,0
983.4,1011,27.6,0
983.5,1011,27.5,0
984.1,1011,26.9,0
983.533,1011,27.4667,0
984,1011,27,0
983.8,1011,27.2,0
957.167,1011,37.404,0
983.433,1011,27.5667,0
1011,1011,0,0
992.967,1011,18.0333,0
1011,1011,0,0
1011,1011,0,0
983.533,1011,27.4667,0
1011,1011,0,0
982.1,1011,28.9,0
983.867,1011,27.1333,0
1011,1011,0,0
1011,1011,0,0
982.133,1011,28.8667,0
982.6,1011,28.4,0
982.933,977.633,28.0667,33.3667
1011,1011,0,0
1011,1011,0,0
982.433,1011,28.5667,0
983.133,1011,27.8667,0
983.833,1011,27.1667,0
982.8,1011,28.2,0
1011,1011,0,0
983,1011,28,0
982.7,1011,28.3,0
983.367,1011,27.6333,0
1011,1011,0,0
1011,1011,0,0
982.6,1011,28.4,0
983.533,1011,27.4667,0
983.7,1011,27.3,0
1011,1011,0,0
982.8,1011,28.2,0
983.867,1011,27.1333,0
1011,1011,0,0
949.367,1011,42.9566,0
1011,1011,0,0
1011,980.167,0,30.8333
982.5,1011,28.5,0
1011,1011,0,0
982.733,1011,28.2667,0
983.833,1011,27.1667,0
984.233,1011,26.7667,0
955.167,1011,38.821,0
983.667,1011,27.3333,0
956.2,1011,38.0756,0
984.267,1011,26.7333,0
1011,1011,0,0
983.6,1011,27.4,0
1011,977.667,0,33.3333
1011,1011,0,0
956.767,1011,37.6824,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
983.167,1011,27.8333,0
1011,1011,0,0
983.867,1011,27.1333,0
983.8,1011,27.2,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
982.667,1011,28.3333,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
984.133,1011,26.8667,0
1011,1011,0,0
983.333,1011,27.6667,0
1011,1011,0,0
983.067,1011,27.9333,0
1011,996.6,0,14.4
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
983.133,1011,27.8667,0
983.967,1011,27.0333,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
982.1,1011,28.9,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
992.933,978.033,18.0667,32.9667
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
983.833,1011,27.1667,0
984.4,1011,26.6,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,978,0,33
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,997.733,0,13.2667
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
977.8,1011,33.2,0
1011,1011,0,0
1011,1011,0,0
999.433,1011,11.5667,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,978.267,0,32.7333
1011,1004.27,0,6.73333
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,977.7,0,33.3
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
991.867,1011,19.1333,0
1011,1011,0,0
1011,1011,0,0
997.3,1011,13.7,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
993.2,1011,17.8,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,983.633,0,27.3667
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,977.7,0,33.3
